"","CustomerID","ProdTaken","Age","TypeofContact","CityTier","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome"
"1",201814,0,35,"Self Enquiry",1,11,"Large Business","Male",3,3,"Standard",4,"Unmarried",1,0,3,1,1,"Senior Manager",23095
"2",200297,0,35,"Self Enquiry",3,22,"Small Business","Male",3,3,"Standard",4,"Divorced",1,0,2,1,2,"Senior Manager",23020
"3",203506,0,45,"Company Invited",1,9,"Small Business","Male",3,4,"Standard",3,"Single",7,1,1,0,2,"Senior Manager",28887
"4",202286,0,39,"Company Invited",1,15,"Salaried","Male",3,3,"Deluxe",4,"Unmarried",1,0,1,1,0,"Manager",21782
"5",202057,0,52,"Self Enquiry",1,17,"Salaried","Female",2,3,"Deluxe",3,"Married",1,0,1,1,0,"Manager",18149
"6",202030,0,34,"Self Enquiry",1,14,"Salaried","Female",2,3,"Deluxe",5,"Married",4,0,5,1,1,"Manager",20121
"7",203911,0,28,"Self Enquiry",1,11,"Salaried","Male",3,2,"Deluxe",4,"Married",3,1,4,1,1,"Manager",24820
"8",201446,0,34,"Self Enquiry",3,34,"Small Business","Female",3,4,"Deluxe",3,"Married",2,0,5,1,0,"Manager",21712
"9",202067,0,42,"Self Enquiry",1,6,"Salaried","Female",2,4,"Deluxe",3,"Married",1,1,3,0,0,"Manager",21062
"10",202070,0,32,"Self Enquiry",1,10,"Salaried","Female",3,4,"Deluxe",3,"Married",2,0,4,1,1,"Manager",21162
"11",200690,0,31,"Self Enquiry",1,18,"Small Business","Female",2,3,"Deluxe",3,"Divorced",1,1,4,0,1,"Manager",20855
"12",200569,0,36,"Company Invited",3,14,"Salaried","Male",3,4,"Standard",5,"Unmarried",2,0,2,0,2,"Senior Manager",22587
"13",203875,0,33,"Self Enquiry",3,7,"Small Business","Female",3,4,"Standard",3,"Married",3,0,5,1,1,"Senior Manager",29100
"14",201315,0,36,"Self Enquiry",1,8,"Salaried","Female",3,3,"Deluxe",4,"Married",5,1,4,0,0,"Manager",21962
"15",202539,0,55,"Self Enquiry",1,9,"Large Business","Female",3,4,"Standard",3,"Divorced",2,0,4,1,1,"Senior Manager",32227
"16",200450,0,31,"Self Enquiry",3,8,"Salaried","Male",3,3,"Deluxe",3,"Unmarried",5,1,5,1,1,"Manager",21582
"17",202596,0,54,"Self Enquiry",3,13,"Small Business","Male",3,4,"Deluxe",3,"Divorced",4,1,5,0,1,"Manager",20984
"18",201826,0,42,"Self Enquiry",1,8,"Salaried","Male",3,4,"Deluxe",3,"Unmarried",4,0,1,1,0,"Manager",21781
"19",203747,0,48,"Self Enquiry",1,11,"Salaried","Female",4,5,"Standard",4,"Married",2,1,4,1,3,"Senior Manager",29011
"20",204552,0,26,"Self Enquiry",3,11,"Small Business","Male",3,5,"Deluxe",5,"Married",3,0,3,1,2,"Manager",22934
"21",204157,0,41,"Self Enquiry",1,31,"Large Business","Male",4,4,"Deluxe",3,"Married",3,0,3,1,2,"Manager",21997
"22",201285,0,46,"Company Invited",3,32,"Salaried","Male",3,4,"Deluxe",4,"Unmarried",1,0,4,1,2,"Manager",22991
"23",200126,1,58,"Self Enquiry",1,29,"Small Business","Female",3,3,"Standard",3,"Divorced",2,0,3,1,0,"Senior Manager",25312
"24",201179,0,34,"Self Enquiry",1,9,"Salaried","Female",3,3,"Deluxe",4,"Married",2,0,5,1,2,"Manager",20433
"25",204675,1,37,"Self Enquiry",1,22,"Salaried","Male",3,4,"Deluxe",3,"Married",2,0,4,0,2,"Manager",23512
"26",201288,0,35,"Company Invited",1,8,"Small Business","Male",2,3,"Deluxe",3,"Married",3,0,3,0,1,"Manager",20762
"27",204876,1,52,"Self Enquiry",3,34,"Salaried","Male",3,4,"Deluxe",3,"Single",3,1,5,1,2,"Manager",32704
"28",203045,0,41,"Company Invited",1,23,"Small Business","Male",3,5,"Deluxe",3,"Unmarried",8,0,5,1,2,"Manager",23772
"29",203837,0,28,"Self Enquiry",3,16,"Small Business","Male",3,4,"Deluxe",3,"Unmarried",3,0,1,0,2,"Manager",22783
