"","rbd","GPA_pos","grade_treat","type","grado","asistencia","mean_pred","ci_h","ci_l","outcome"
"1","10658","D1","Non-tested","Estimated",3,0.888888888888889,0.899333881488787,0,0,0.899333881488787
"2","10658","D1","Non-tested","Obs",3,0.888888888888889,0.899333881488787,0,0,0.888888888888889
"3","10658","D1","Tested","Estimated",4,1,0.925546641670297,0,0,0.925546641670297
"4","10658","D1","Tested","Obs",4,1,0.925546641670297,0,0,1
"5","10658","D2","Non-tested","Estimated",3,1,0.923875337981322,0,0,0.923875337981322
"6","10658","D2","Non-tested","Obs",3,1,0.923875337981322,0,0,1
"7","10658","D2","Tested","Estimated",4,0.9375,0.943159328216878,0,0,0.943159328216878
"8","10658","D2","Tested","Obs",4,0.9375,0.943159328216878,0,0,0.9375
"9","10658","D3D8","Non-tested","Estimated",3,0.941176470588235,0.934498043070263,0,0,0.934498043070263
"10","10658","D3D8","Non-tested","Obs",3,0.941176470588235,0.934498043070263,0,0,0.941176470588235
"11","10658","D3D8","Tested","Estimated",4,0.916666666666667,0.935245471301417,0,0,0.935245471301417
"12","10658","D3D8","Tested","Obs",4,0.916666666666667,0.935245471301417,0,0,0.916666666666667
"13","10658","D9","Non-tested","Estimated",3,0.882352941176471,0.964643786406025,0,0,0.964643786406025
"14","10658","D9","Non-tested","Obs",3,0.882352941176471,0.964643786406025,0,0,0.882352941176471
"15","10658","D9","Tested","Estimated",4,0.9375,0.972265362218481,0,0,0.972265362218481
"16","10658","D9","Tested","Obs",4,0.9375,0.972265362218481,0,0,0.9375
"17","10658","D10","Non-tested","Estimated",3,0.941176470588235,0.975913639155576,0,0,0.975913639155576
"18","10658","D10","Non-tested","Obs",3,0.941176470588235,0.975913639155576,0,0,0.941176470588235
"19","10658","D10","Tested","Estimated",4,1,0.942339319781116,0,0,0.942339319781116
"20","10658","D10","Tested","Obs",4,1,0.942339319781116,0,0,1
"21","25002","D1","Non-tested","Estimated",3,0.888888888888889,0.876997729504846,0,0,0.876997729504846
"22","25002","D1","Non-tested","Obs",3,0.888888888888889,0.876997729504846,0,0,0.888888888888889
"23","25002","D1","Tested","Estimated",4,0.571428571428571,0.872809048651916,0,0,0.872809048651916
"24","25002","D1","Tested","Obs",4,0.571428571428571,0.872809048651916,0,0,0.571428571428571
"25","25002","D2","Non-tested","Estimated",3,0.888888888888889,0.952915496956849,0,0,0.952915496956849
"26","25002","D2","Non-tested","Obs",3,0.888888888888889,0.952915496956849,0,0,0.888888888888889
"27","25002","D2","Tested","Estimated",4,1,0.840479417592866,0,0,0.840479417592866
"28","25002","D2","Tested","Obs",4,1,0.840479417592866,0,0,1
"29","25002","D3D8","Non-tested","Estimated",3,0.923076923076923,0.964641886771733,0,0,0.964641886771733
"30","25002","D3D8","Non-tested","Obs",3,0.923076923076923,0.964641886771733,0,0,0.923076923076923
"31","25002","D3D8","Tested","Estimated",4,0.926829268292683,0.895619469594636,0,0,0.895619469594636
"32","25002","D3D8","Tested","Obs",4,0.926829268292683,0.895619469594636,0,0,0.926829268292683
"33","25002","D9","Non-tested","Estimated",3,1,1.00203839138744,0,0,1.00203839138744
"34","25002","D9","Non-tested","Obs",3,1,1.00203839138744,0,0,1
"35","25002","D9","Tested","Estimated",4,1,0.960779252575901,0,0,0.960779252575901
"36","25002","D9","Tested","Obs",4,1,0.960779252575901,0,0,1
"37","25002","D10","Non-tested","Estimated",3,1,0.990599743918178,0,0,0.990599743918178
"38","25002","D10","Non-tested","Obs",3,1,0.990599743918178,0,0,1
"39","25002","D10","Tested","Estimated",4,1,0.931813388854923,0,0,0.931813388854923
"40","25002","D10","Tested","Obs",4,1,0.931813388854923,0,0,1
