"","rbd","grado","asistencia","GPA_pos","mean_pred","ci_h","ci_l","grade_treat","type","outcome"
"1","25002","4",0.916666666666667,"D2",0.895385685016712,0.916519493237138,0.856534625589848,"Tested","Estimated",0.895385685016712
"2","25002","4",0.942857142857143,"D3D8",0.916621128891196,0.927639048865863,0.900097744911909,"Tested","Estimated",0.916621128891196
"3","25002","4",0.571428571428571,"D1",0.897318358506475,0.919074150281293,0.869842074385711,"Tested","Estimated",0.897318358506475
"4","25002","4",1,"D10",0.976179717063904,0.979996585845947,0.971288241744041,"Tested","Estimated",0.976179717063904
"5","25002","4",1,"D9",0.951747220073427,0.959476935863495,0.942420585879258,"Tested","Estimated",0.951747220073427
"6","25002","3",1,"D2",0.918784110069275,0.941662026643753,0.889828157871962,"Non-tested","Estimated",0.918784110069275
"7","25002","3",0.911111111111111,"D3D8",0.957383697489897,0.963545681072606,0.947980496916506,"Non-tested","Estimated",0.957383697489897
"8","25002","3",0.846153846153846,"D1",0.876193075331931,0.897235619506011,0.850059127764633,"Non-tested","Estimated",0.876193075331931
"9","25002","3",1,"D10",0.97887961672412,0.982593979438146,0.973058867454529,"Non-tested","Estimated",0.97887961672412
"10","25002","3",1,"D9",0.967618834310108,0.974105683134662,0.957996058960756,"Non-tested","Estimated",0.967618834310108
"11","10658","4",0.904761904761905,"D2",0.932570414628301,0.944103668913955,0.914300753318128,"Tested","Estimated",0.932570414628301
"12","10658","4",0.925531914893617,"D3D8",0.925602156009446,0.935811727779343,0.909240897927196,"Tested","Estimated",0.925602156009446
"13","10658","4",1,"D1",0.927486531005965,0.940857664744059,0.906937041381995,"Tested","Estimated",0.927486531005965
"14","10658","4",1,"D10",0.952546531669796,0.961224011611193,0.94046195782721,"Tested","Estimated",0.952546531669796
"15","10658","4",0.916666666666667,"D9",0.972955218603214,0.977714535966516,0.964711540316542,"Tested","Estimated",0.972955218603214
"16","10658","3",1,"D2",0.906664784210069,0.926080199969666,0.87548863238522,"Non-tested","Estimated",0.906664784210069
"17","10658","3",0.928571428571429,"D3D8",0.925710735073959,0.936532745069387,0.909160252782155,"Non-tested","Estimated",0.925710735073959
"18","10658","3",0.925925925925926,"D1",0.93415237667384,0.944872981530649,0.918498494614054,"Non-tested","Estimated",0.93415237667384
"19","10658","3",0.9375,"D10",0.964217982515693,0.970017063524574,0.954685230925679,"Non-tested","Estimated",0.964217982515693
"20","10658","3",0.941176470588235,"D9",0.964292365558007,0.970709112812491,0.955357295450042,"Non-tested","Estimated",0.964292365558007
"21","25002","4",0.916666666666667,"D2",0.895385685016712,0,0,"Tested","Obs",0.916666666666667
"22","25002","4",0.942857142857143,"D3D8",0.916621128891196,0,0,"Tested","Obs",0.942857142857143
"23","25002","4",0.571428571428571,"D1",0.897318358506475,0,0,"Tested","Obs",0.571428571428571
"24","25002","4",1,"D10",0.976179717063904,0,0,"Tested","Obs",1
"25","25002","4",1,"D9",0.951747220073427,0,0,"Tested","Obs",1
"26","25002","3",1,"D2",0.918784110069275,0,0,"Non-tested","Obs",1
"27","25002","3",0.911111111111111,"D3D8",0.957383697489897,0,0,"Non-tested","Obs",0.911111111111111
"28","25002","3",0.846153846153846,"D1",0.876193075331931,0,0,"Non-tested","Obs",0.846153846153846
"29","25002","3",1,"D10",0.97887961672412,0,0,"Non-tested","Obs",1
"30","25002","3",1,"D9",0.967618834310108,0,0,"Non-tested","Obs",1
"31","10658","4",0.904761904761905,"D2",0.932570414628301,0,0,"Tested","Obs",0.904761904761905
"32","10658","4",0.925531914893617,"D3D8",0.925602156009446,0,0,"Tested","Obs",0.925531914893617
"33","10658","4",1,"D1",0.927486531005965,0,0,"Tested","Obs",1
"34","10658","4",1,"D10",0.952546531669796,0,0,"Tested","Obs",1
"35","10658","4",0.916666666666667,"D9",0.972955218603214,0,0,"Tested","Obs",0.916666666666667
"36","10658","3",1,"D2",0.906664784210069,0,0,"Non-tested","Obs",1
"37","10658","3",0.928571428571429,"D3D8",0.925710735073959,0,0,"Non-tested","Obs",0.928571428571429
"38","10658","3",0.925925925925926,"D1",0.93415237667384,0,0,"Non-tested","Obs",0.925925925925926
"39","10658","3",0.9375,"D10",0.964217982515693,0,0,"Non-tested","Obs",0.9375
"40","10658","3",0.941176470588235,"D9",0.964292365558007,0,0,"Non-tested","Obs",0.941176470588235
