"","rbd","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","Diff D1 GPA","Diff D2 GPA","Diff D9 GPA","Diff D10 GPA"
"1","10506",1,229,228,0,1,0.498525,0.0483731913715602,0.121365119442344,0.0390203308207648,0.0499049469083548
"2","10326",1,270,248,0,1,0.332155,0.0526217924803496,0.048001177161932,0.0397682532336977,0.039875118136406
"3","25961",1,294,313,0,0,0.090744,-0.0130626999981264,0.0529967131939801,0.0425275803529299,0.0619315095131214
"4","10626",2,249,237,0,1,0.505618,-0.0778702308734258,-0.287558136781057,0.125331147909164,0.0437930732965469
"5","8552",1,255,252,1,1,0.344729,-0.0312154961102887,0.0763529773950576,0.0575191787481308,0.0613215410212675
"6","25025",1,254,261,0,1,0.234834,0.103279250519616,-0.024682594910264,0.025079967209271,0.0407728974024455
"7","31036",2,274,275,0,1,0.643357,-0.921793729662895,0.0564775373041629,0.0680163097381592,0.0167920833826065
"8","9811",1,273,287,0,1,0.526353,-0.0230198666859757,0.0777792392535643,0.050358632132411,0.0632136819818441
"9","25733",1,308,314,0,1,0.318701,-0.237335513093892,-0.0378549041847388,-0.0420291331112385,0.0372485979894797
"10","8931",1,282,252,1,1,0.191682,-0.094953020910422,0.0569150460617883,0.0594179795185725,0.0384969027553286
"11","8627",1,295,272,0,0,0.172699,-0.119945460685662,0.0870272395852953,0.0569489771828932,0.044379940714155
"12","10594",1,268,257,0,0,0.314578,0.0653373985290527,0.0419513472318649,0.0403826851844787,0.0461046895980834
"13","10426",1,253,245,1,1,0.558252,-0.211535013467073,-0.058898229598999,0.159343492388725,0.00907080292701723
"14","12077",1,273,264,0,1,0.330357,-0.0732517971311297,0.0382023510336876,0.0312931949751718,0.037168012658755
"15","10773",1,261,252,0,1,0.452163,0.0575409867763519,0.0843879358768463,-0.0758357860893011,0.0219728806946012
"16","9307",1,246,249,1,1,0.624506,0.0891405934095383,0.0591441033780575,0.0340715183814366,0.149525098353624
"17","25599",1,242,233,0,1,0.374239,0.0799630525273581,0.0253199216084821,0.0558807289600373,-0.0795476990193129
"18","25589",1,280,304,0,1,0.581481,-0.0706770253181458,-0.0145349154621363,0.057035480539004,0.0227969714999199
"19","9144",1,240,254,0,1,0.605206,0.0118209016985363,-0.274296356638273,0.0472509588301182,0.0567933006584644
"20","9955",2,257,248,0,1,0.429429,-0.54784936328729,-0.336871013879776,0.0485751406351725,0.0223832623660565
"21","26139",1,284,271,0,1,0.407738,0.0893111011385918,0.0808249194920063,0.0595838737487793,0.0397252670526504
"22","24685",1,263,256,0,1,0.41022,0.0261366421480973,0.0970558637976646,0.0774626225126641,0.0454615436218403
"23","25369",1,307,314,0,0,0.092166,-0.0218222908569233,-0.0098177291701238,0.0386768930086068,0.0337799797887387
"24","24930",1,260,267,0,1,0.6,0.0761154511996678,-0.270287238359451,0.0701662600040436,0.0904900717735291
"25","10646",2,240,222,1,1,0.764179,-0.307275280465062,-0.408924254328012,0.0947237449288368,0.00884253422419234
"26","25523",1,261,260,0,1,0.660571,-0.0245276590287685,-0.153515779400865,0.0621313561499118,0.0226964948574702
"27","24759",1,276,268,0,1,0.507634,0.200219565580289,0.120827721357346,0.0431242296099663,0.0196883204579353
"28","10162",1,252,268,0,1,0.522023,0.117773544805891,0.104566116695819,0.0588434659976226,0.057927761716502
"29","10565",1,221,219,1,1,0.720351,0.097511869718631,0.0894966696626083,0.035336400100163,0.0330871332354016
"30","10114",1,218,241,1,1,0.650602,-0.0383783194422721,-0.138881968975067,0.0589065371453762,0.0658572170635064
"31","10191",2,243,217,0,1,0.735537,-0.378146618306637,-0.182253336787224,0.0152503202855587,0.0234615141153336
"32","10172",1,244,238,0,1,0.686833,-0.0758645480871201,-0.162940476834774,-0.133313981175423,0.0308671875794728
"33","10606",2,279,284,0,1,0.423453,-0.255702797571818,-0.107678175449371,0.0357707145214081,-0.469581786990166
"34","25803",2,253,269,0,1,0.816038,-0.872922648787498,-0.320605220124126,0.0351883538564046,0.00621263742446898
"35","24995",NA,275,246,0,0,0.389121,NA,NA,NA,NA
"36","8681",1,279,288,0,1,0.393498,-0.00720649259431028,0.0856623158088097,-0.0207030022218823,0.0233529177904129
"37","9292",2,237,240,1,1,0.491803,-0.800913977921009,-0.0673118689656258,0.0410512055953344,0.0247673686345419
"38","10489",1,267,267,0,1,0.426731,0.102848064866331,0.0843303396966723,0.0333561012148857,0.0393045375744502
"39","10738",1,245,235,1,1,0.701944,0.0959189762671788,0.00551069803535942,-0.443978823125362,0.0450365114212036
"40","24438",1,268,277,0,0,0.278351,0.09990898336683,-0.0891254138946532,0.0405831307172775,0.0339992218216261
"41","9967",1,320,318,0,0,0.067757,0.0694351189335187,-0.196524594937052,0.0611616643269857,0.0302927933136622
"42","24410",1,289,295,0,1,0.181311,0.11681946237882,0.0411638200779756,0.0564982001980145,0.0345114269256592
"43","10183",1,253,243,0,1,0.614035,0.316023353897035,0.0571433311700821,-0.295070518255234,0.0275606801112492
"44","10085",1,267,264,1,1,0.654676,-0.0111526183996882,0.0237736420498953,0.0531985358893872,0.043756629705429
"45","9660",1,249,244,0,1,0.475904,0.115367146382729,-0.179504277507464,0.0465527078509331,0.0796053144931793
"46","24769",1,249,246,0,1,0.341801,0.0648256292668256,-0.0149304492198503,0.0359327720999718,0.0431628691066395
"47","25196",1,268,269,0,0,0.199288,0.0719607192277908,0.0516078077554702,0.0822678518295288,0.0291761628786723
"48","25558",1,298,309,0,0,0.059055,0.0384962412714959,0.0399789898395538,0.0516236946582794,0.161242292622725
