"","cluster","Avg. SIMCE Lang","Avg. SIMCE Math","Public","SEP status","% Priority Students","&#916; Obs-Pred D1","&#916; Obs-Pred D2","&#916; Obs-Pred D9","&#916; Obs-Pred D10"
"1","Cluster 1
Increase att",235,212,1,1,0.590336,0.0964131673873511,-0.182568812671883,0.0760929081540139,0.0431116798910319
"2","Cluster 1
Increase att",248,232,1,1,0.556923,0.336939518614027,-0.029589043953486,0.281685671066454,0.00831995040949296
"3","Cluster 1
Increase att",279,274,1,1,0.482353,-0.00121369055956255,0.0763221459737746,0.0284084135744731,0.0335563619752919
"4","Cluster 2
Lower att (bottom)",259,230,1,1,0.422414,-0.586644775225063,-0.130309568379018,-0.223330778069031,0.0116159239465182
"5","Cluster 1
Increase att",255,241,1,1,0.601852,0.123078312210803,0.290231696748015,0.0340433339717638,0.0937325152604364
"6","Cluster 2
Lower att (bottom)",261,225,1,1,0.624366,-0.00719653457596392,0.0411540829091702,0.00494899880902921,0.0228307836336565
"7","Cluster 2
Lower att (bottom)",255,242,0,1,0.4,-0.571166316879993,-0.204503011681229,0.0338488109624289,-0.0114166826203577
"8","Cluster 1
Increase att",273,266,0,1,0.403958,0.0304946209422106,0.0238601641586706,0.012006232522408,0.0201259969252199
"9","Cluster 1
Increase att",273,270,0,1,0.350318,0.0643785191995908,0.0786643787566189,0.0188522035604795,0.0573183361371763
"10","Cluster 2
Lower att (bottom)",242,224,0,1,0.407115,-0.281202277111959,-0.485506873494709,0.034274077921262,0.0299165417196524
"11","Cluster 1
Increase att",259,274,0,1,0.576923,0.0173075293492549,0.0557526940117173,0.0289505947853931,0.100066883400393
"12","Cluster 2
Lower att (bottom)",260,240,0,1,0.557471,-0.0747963388353735,-0.21546757207159,-0.120620629269896,0.0398707544272593
"13","Cluster 1
Increase att",263,238,0,1,0.461165,0.134414052818601,0.0425321842315493,0.085662843003336,0.117280358435306
"14","Cluster 1
Increase att",295,301,0,1,0.392428,-0.00692455000570957,0.0183237909126825,0.0437661149238791,0.0617188570165015
"15","Cluster 1
Increase att",250,241,0,1,0.428135,-0.135677258303041,0.0227413259293541,0.0364282786326634,0.0135519385769789
"16","Cluster 1
Increase att",259,251,0,1,0.577778,-0.351360531190946,0.0934318432775089,0.0638994740924055,0.00556153834948581
"17","Cluster 2
Lower att (bottom)",273,274,0,1,0.52043,-0.0966036034841332,-0.102504361791574,0.0421450585063746,0.0661073463372838
"18","Cluster 1
Increase att",247,236,0,1,0.592437,-0.283392549449336,0.248078124267551,-0.004234247245539,0.00255990789884142
"19","Cluster 1
Increase att",280,286,0,1,0.288703,-0.153149655068353,0.0416711868801141,0.0364941551368574,0.0445289333943193
