"cluster","imputation","mean"
1,"Impute All",247.557000835862
1,"Impute Pred-Obs (Min All)",253.01203709443
1,"Impute Pred-Obs (Min Decile)",253.058604336105
1,"No Imputation",254.420126142596
1,"Impute Pred-Obs (Min School)",253.593842242869
1,"Impute Pred-Obs (Min School Decile)",254.739728117663
2,"Impute All",227.216615839016
2,"Impute Pred-Obs (Min All)",239.440563447167
2,"Impute Pred-Obs (Min Decile)",239.711613942254
2,"No Imputation",247.80236416185
2,"Impute Pred-Obs (Min School)",243.258555442424
2,"Impute Pred-Obs (Min School Decile)",246.438033189757
