"","rbd","grado","asistencia","GPA_pos","mean_pred","ci_h","ci_l","grade_treat","type","outcome"
"1","10658",3,0.888888888888889,"D1",1,0,0,"Non-tested","Estimated",1
"2","10658",3,0.941176470588235,"D10",1,0,0,"Non-tested","Estimated",1
"3","10658",3,1,"D2",1,0,0,"Non-tested","Estimated",1
"4","10658",3,0.941176470588235,"D3D8",1,0,0,"Non-tested","Estimated",1
"5","10658",3,0.882352941176471,"D9",1,0,0,"Non-tested","Estimated",1
"6","10658",4,1,"D1",1,0,0,"Tested","Estimated",1
"7","10658",4,1,"D10",1,0,0,"Tested","Estimated",1
"8","10658",4,0.9375,"D2",1,0,0,"Tested","Estimated",1
"9","10658",4,0.916666666666667,"D3D8",1,0,0,"Tested","Estimated",1
"10","10658",4,0.9375,"D9",1,0,0,"Tested","Estimated",1
"11","25002",3,0.888888888888889,"D1",0.888888888888889,0,0,"Non-tested","Estimated",0.888888888888889
"12","25002",3,1,"D10",1,0,0,"Non-tested","Estimated",1
"13","25002",3,0.888888888888889,"D2",0.888888888888889,0,0,"Non-tested","Estimated",0.888888888888889
"14","25002",3,0.923076923076923,"D3D8",0.980769230769231,0,0,"Non-tested","Estimated",0.980769230769231
"15","25002",3,1,"D9",1,0,0,"Non-tested","Estimated",1
"16","25002",4,0.571428571428571,"D1",0.714285714285714,0,0,"Tested","Estimated",0.714285714285714
"17","25002",4,1,"D10",0.833333333333333,0,0,"Tested","Estimated",0.833333333333333
"18","25002",4,1,"D2",0.833333333333333,0,0,"Tested","Estimated",0.833333333333333
"19","25002",4,0.926829268292683,"D3D8",0.975609756097561,0,0,"Tested","Estimated",0.975609756097561
"20","25002",4,1,"D9",1,0,0,"Tested","Estimated",1
"21","10658",3,0.888888888888889,"D1",1,0,0,"Non-tested","Obs",0.888888888888889
"22","10658",3,0.941176470588235,"D10",1,0,0,"Non-tested","Obs",0.941176470588235
"23","10658",3,1,"D2",1,0,0,"Non-tested","Obs",1
"24","10658",3,0.941176470588235,"D3D8",1,0,0,"Non-tested","Obs",0.941176470588235
"25","10658",3,0.882352941176471,"D9",1,0,0,"Non-tested","Obs",0.882352941176471
"26","10658",4,1,"D1",1,0,0,"Tested","Obs",1
"27","10658",4,1,"D10",1,0,0,"Tested","Obs",1
"28","10658",4,0.9375,"D2",1,0,0,"Tested","Obs",0.9375
"29","10658",4,0.916666666666667,"D3D8",1,0,0,"Tested","Obs",0.916666666666667
"30","10658",4,0.9375,"D9",1,0,0,"Tested","Obs",0.9375
"31","25002",3,0.888888888888889,"D1",0.888888888888889,0,0,"Non-tested","Obs",0.888888888888889
"32","25002",3,1,"D10",1,0,0,"Non-tested","Obs",1
"33","25002",3,0.888888888888889,"D2",0.888888888888889,0,0,"Non-tested","Obs",0.888888888888889
"34","25002",3,0.923076923076923,"D3D8",0.980769230769231,0,0,"Non-tested","Obs",0.923076923076923
"35","25002",3,1,"D9",1,0,0,"Non-tested","Obs",1
"36","25002",4,0.571428571428571,"D1",0.714285714285714,0,0,"Tested","Obs",0.571428571428571
"37","25002",4,1,"D10",0.833333333333333,0,0,"Tested","Obs",1
"38","25002",4,1,"D2",0.833333333333333,0,0,"Tested","Obs",1
"39","25002",4,0.926829268292683,"D3D8",0.975609756097561,0,0,"Tested","Obs",0.926829268292683
"40","25002",4,1,"D9",1,0,0,"Tested","Obs",1
