"X","rbd","cluster","Avg..SIMCE.Lang","Avg..SIMCE.Math","Public","SEP.status","X..Priority.Students","Diff.D1.GPA","Diff.D2.GPA","Diff.D9.GPA","Diff.D10.GPA","simce_math_min_4_D1","simce_math_min_4_D10","simce_math_min_4_D2","simce_math_min_4_D3D8","simce_math_min_4_D9","asistencia_4_D1","asistencia_4_D10","asistencia_4_D2","asistencia_4_D3D8","asistencia_4_D9","asistencia","n_total","n_D1","n_D2","n_D3D8","n_D9","n_D10","simce_math_min_4","min_math_school","min_lang_school","min_math_school_GPA_D1","min_math_school_GPA_D10","min_math_school_GPA_D2","min_math_school_GPA_D3D8","min_math_school_GPA_D9","min_lang_school_GPA_D1","min_lang_school_GPA_D10","min_lang_school_GPA_D2","min_lang_school_GPA_D3D8","min_lang_school_GPA_D9","min_math","min_math_D1","min_math_D2","min_math_D9","min_math_D10","impute_all","impute_pred_min_all","impute_pred_min_decile","impute_no","impute_pred_min_school","impute_pred_min_school_GPA"
1,10000,1,235,212,1,1,0.590336,0,-0.182568812671883,0,0,182.22,247.4,148.61,151.79,189.8,0.8,1,0.833333333333333,0.939393939393939,1,0.925925925925926,54,5,6,33,5,5,148.61,148.61,135.68,182.22,247.4,148.61,151.79,189.8,180.33,191.12,135.68,145.14,200.28,100.93,105.04,106.56,100.93,112.29,203.772592592593,209.746897997393,209.861104932431,212,210.714106996081,210.714106996081
2,10001,1,248,232,1,1,0.556923,0,-0.029589043953486,0,0,159.94,252.82,175.67,138.1,256.89,0.8,1,1,0.892857142857143,1,0.91304347826087,46,5,5,28,4,4,138.1,138.1,138.24,159.94,252.82,175.67,138.1,256.89,203.72,216.03,138.24,146.25,210.2,100.93,105.04,106.56,100.93,112.29,220.602608695652,231.578452609676,231.596559818095,232,231.697998779649,231.818831429794
3,10005,1,279,274,1,1,0.482353,-0.00121369055956255,0,0,0,163.68,312.72,202.18,228.94,297.62,0.875,1,1,0.9375,1,0.95,80,8,8,48,8,8,163.68,163.68,145.88,163.68,312.72,202.18,228.94,297.62,145.88,313.29,175.83,193.09,268.41,100.93,105.04,106.56,100.93,112.29,265.3465,273.978994657486,273.979493484306,274,273.986610565747,273.986610565747
4,10006,2,259,230,1,1,0.422414,-0.586644775225063,-0.130309568379018,-0.223330778069031,0,158.49,292.15,203.25,198.65,234.29,0.2,1,0.75,0.88,0.75,0.780487804878049,41,5,4,25,4,3,158.49,158.49,137.54,158.49,292.15,203.25,198.65,234.29,162.78,317.21,137.54,159.15,265.56,100.93,105.04,106.56,100.93,112.29,201.66756097561,216.312959908398,216.678572630612,230,222.416826241958,224.637424218375
5,10010,1,255,241,1,1,0.601852,0,0,0,0,189.86,235.87,182.97,134.95,151.44,1,1,1,0.944444444444444,1,0.96551724137931,29,3,3,18,3,2,134.95,134.95,155.19,189.86,235.87,182.97,134.95,151.44,173.86,198.84,219.73,155.19,174.91,100.93,105.04,106.56,100.93,112.29,236.17,241,241,241,241,241
6,10012,2,261,225,1,1,0.624366,-0.00719653457596392,0,0,0,184.47,214.55,212.63,116.41,220.7,1,1,1,0.916666666666667,1,0.947368421052632,19,2,2,12,2,1,116.41,116.41,153.11,184.47,214.55,212.63,116.41,220.7,155.02,264.28,NA,153.11,167.79,100.93,105.04,106.56,100.93,112.29,218.47,224.906013258438,224.909126706554,225,224.917739822147,224.969297310909
7,10014,2,255,242,0,1,0.4,-0.571166316879993,-0.204503011681229,0,-0.0114166826203577,175.31,283.88,216.14,163.08,251.15,0.333333333333333,1,0.666666666666667,0.764705882352941,1,0.75,28,3,3,17,3,2,163.08,163.08,206.78,175.31,283.88,216.14,163.08,251.15,218.63,310.49,225.97,206.78,252.78,100.93,105.04,106.56,100.93,112.29,206.7325,230.160995736611,230.545135864595,242,235.376804306609,237.386345452567
8,10015,1,273,266,0,1,0.403958,0,0,0,0,206.14,262.72,203.21,178.9,234.51,1,1,1,1,1,1,116,12,12,71,10,11,178.9,178.9,158.85,206.14,262.72,203.21,178.9,234.51,168.19,266,196.1,158.85,209.42,100.93,105.04,106.56,100.93,112.29,266,266,266,266,266,266
9,10018,1,273,270,0,1,0.350318,0,0,0,0,137.89,294.55,257.87,225.09,233.03,1,1,1,1,1,1,29,3,3,17,3,3,137.89,137.89,148.39,137.89,294.55,257.87,225.09,233.03,188.88,304.78,148.39,153.95,273.17,100.93,105.04,106.56,100.93,112.29,270,270,270,270,270,270
10,10019,2,242,224,0,1,0.407115,-0.281202277111959,-0.485506873494709,0,0,217.26,265.71,243.86,188.69,209.34,0.666666666666667,1,0.5,1,1,0.921052631578947,38,3,4,24,4,3,188.69,188.69,168.38,217.26,265.71,243.86,188.69,209.34,242.51,276.08,277.88,171.37,168.38,100.93,105.04,106.56,100.93,112.29,214.283947368421,214.978210094303,215.357179538195,224,221.411559262451,224.865335683874
11,10021,1,259,274,0,1,0.576923,0,0,0,0,223.39,288.25,215.82,196.63,226.19,1,1,1,1,1,1,37,4,4,23,3,3,196.63,196.63,185.74,223.39,288.25,215.82,196.63,226.19,207.62,251.49,185.74,187.09,266.46,100.93,105.04,106.56,100.93,112.29,274,274,274,274,274,274
12,10026,2,260,240,0,1,0.557471,-0.0747963388353735,-0.21546757207159,-0.120620629269896,0,157.77,233.98,170.82,160.46,248.97,0.833333333333333,1,0.666666666666667,0.944444444444444,0.8,0.894736842105263,57,6,6,35,5,5,157.77,157.77,149.13,157.77,233.98,170.82,160.46,248.97,201,245.88,157.71,149.13,257.35,100.93,105.04,106.56,100.93,112.29,225.361052631579,234.279376015758,234.439428161376,240,236.617481051095,237.878430486889
13,10028,1,263,238,0,1,0.461165,0,0,0,0,141.62,282.88,173.64,187.49,260.07,1,1,1,0.888888888888889,1,0.933333333333333,30,3,3,18,3,3,141.62,141.62,161.74,141.62,282.88,173.64,187.49,260.07,161.74,293.95,234.4,173.04,270.56,100.93,105.04,106.56,100.93,112.29,228.862,238,238,238,238,238
14,10030,1,295,301,0,1,0.392428,-0.00692455000570957,0,0,0,211.71,289.42,218.12,207.82,259.41,0.928571428571429,1,0.928571428571429,0.948717948717949,1,0.954545454545455,132,14,14,78,13,13,207.82,207.82,179.48,211.71,289.42,218.12,207.82,259.41,179.48,254.35,200.92,210.9,252.83,100.93,105.04,106.56,100.93,112.29,291.905909090909,300.853064196402,300.8560826707,301,300.931566560807,300.934423462272
15,10032,1,250,241,0,1,0.428135,-0.135677258303041,0,0,0,120.11,228.07,152.34,163.03,203.31,0.8,1,1,0.958333333333333,1,0.95,40,5,4,24,3,4,120.11,120.11,145.3,120.11,228.07,152.34,163.03,203.31,145.3,300.5,147.72,161.24,229.84,100.93,105.04,106.56,100.93,112.29,233.9965,238.624460803687,238.69416499514,241,238.949747030468,238.949747030468
16,10035,1,259,251,0,1,0.577778,-0.351360531190946,0,0,0,208.79,270.4,248.97,179.49,249.73,0.5,1,1,0.95,1,0.911764705882353,34,4,4,20,3,3,179.49,179.49,139.65,208.79,270.4,248.97,179.49,249.73,206.54,301.07,189.99,139.65,288.67,100.93,105.04,106.56,100.93,112.29,237.758529411765,244.796626480491,244.966519631455,251,248.044024519357,249.255184938639
17,10036,2,273,274,0,1,0.52043,-0.0966036034841332,-0.102504361791574,0,0,179.43,310.55,210.35,184.57,307.64,0.833333333333333,1,0.833333333333333,0.914285714285714,1,0.912280701754386,57,6,6,35,5,5,179.43,179.43,168.77,179.43,310.55,210.35,184.57,307.64,168.77,301.62,234.7,169.08,307.3,100.93,105.04,106.56,100.93,112.29,258.818421052632,270.37267204734,270.475213138625,274,272.017932602513,272.351557325313
18,10041,1,247,236,0,1,0.592437,-0.283392549449336,0,-0.004234247245539,0,196.06,289.04,216.79,190.84,260.07,1,1,1,0.941176470588235,1,0.962962962962963,27,3,3,17,2,2,190.84,190.84,159.21,196.06,289.04,216.79,190.84,260.07,159.21,269.08,215.74,198.81,255.73,100.93,105.04,106.56,100.93,112.29,230.997407407407,231.704543166175,231.83395909709,236,234.563834821829,234.749916347681
19,10042,1,280,286,0,1,0.288703,-0.153149655068353,0,0,0,211.88,299.31,194.34,221.01,278.82,0.777777777777778,1,1,1,1,0.977777777777778,90,9,9,54,9,9,194.34,194.34,170.74,211.88,299.31,194.34,221.01,278.82,179.31,286.07,215.5,170.74,275.44,100.93,105.04,106.56,100.93,112.29,281.887333333333,283.16565933365,283.228603841883,286,284.596230261643,284.864854756633
