"","rbd","grado","asistencia","GPA_pos","mean_pred","ci_h","ci_l","grade_treat","type","outcome"
"1","25002",3,0.888888888888889,"D1",0.891134224176407,0.918793967366219,0.864236876368523,"Non-tested","Estimated",0.891134224176407
"2","25002",3,0.888888888888889,"D2",0.925901481568813,0.938557779788971,0.9131422072649,"Non-tested","Estimated",0.925901481568813
"3","25002",3,0.923076923076923,"D3D8",0.962606868088245,0.976236000657082,0.948921301960945,"Non-tested","Estimated",0.962606868088245
"4","25002",3,1,"D9",0.981508997440338,0.991076189279556,0.969584566354752,"Non-tested","Estimated",0.981508997440338
"5","25002",3,1,"D10",0.98042135733366,0.990054509043694,0.968516463041306,"Non-tested","Estimated",0.98042135733366
"6","25002",4,0.571428571428571,"D1",0.879260967552662,0.902892401814461,0.854946872591972,"Tested","Estimated",0.879260967552662
"7","25002",4,1,"D2",0.885831673622131,0.914518415927887,0.857054343819618,"Tested","Estimated",0.885831673622131
"8","25002",4,0.926829268292683,"D3D8",0.917321512579918,0.933134523034096,0.899700030684471,"Tested","Estimated",0.917321512579918
"9","25002",4,1,"D9",0.948722110390663,0.962299168109894,0.934866032004356,"Tested","Estimated",0.948722110390663
"10","25002",4,1,"D10",0.927320167779922,0.944186514616013,0.911048597097397,"Tested","Estimated",0.927320167779922
"11","10658",3,0.888888888888889,"D1",0.910470094382763,0.928857085108757,0.891918841004372,"Non-tested","Estimated",0.910470094382763
"12","10658",3,1,"D2",0.919894707739353,0.936622005701065,0.904643812775612,"Non-tested","Estimated",0.919894707739353
"13","10658",3,0.941176470588235,"D3D8",0.937127651870251,0.951639169454575,0.922359409928322,"Non-tested","Estimated",0.937127651870251
"14","10658",3,0.882352941176471,"D9",0.965128005445004,0.974193781614304,0.953170543909073,"Non-tested","Estimated",0.965128005445004
"15","10658",3,0.941176470588235,"D10",0.970007383108139,0.981812971830368,0.956259876489639,"Non-tested","Estimated",0.970007383108139
"16","10658",4,1,"D1",0.933348264813423,0.950130495429039,0.917331477999687,"Tested","Estimated",0.933348264813423
"17","10658",4,0.9375,"D2",0.933968603491783,0.950084260106087,0.919017872214317,"Tested","Estimated",0.933968603491783
"18","10658",4,0.916666666666667,"D3D8",0.940454430520535,0.954698267579079,0.925778150558472,"Tested","Estimated",0.940454430520535
"19","10658",4,0.9375,"D9",0.972295951962471,0.985410928726196,0.958291140198708,"Tested","Estimated",0.972295951962471
"20","10658",4,1,"D10",0.942627864003181,0.958845892548561,0.926070415973663,"Tested","Estimated",0.942627864003181
"21","25002",3,0.888888888888889,"D1",0.891134224176407,0,0,"Non-tested","Obs",0.888888888888889
"22","25002",3,0.888888888888889,"D2",0.925901481568813,0,0,"Non-tested","Obs",0.888888888888889
"23","25002",3,0.923076923076923,"D3D8",0.962606868088245,0,0,"Non-tested","Obs",0.923076923076923
"24","25002",3,1,"D9",0.981508997440338,0,0,"Non-tested","Obs",1
"25","25002",3,1,"D10",0.98042135733366,0,0,"Non-tested","Obs",1
"26","25002",4,0.571428571428571,"D1",0.879260967552662,0,0,"Tested","Obs",0.571428571428571
"27","25002",4,1,"D2",0.885831673622131,0,0,"Tested","Obs",1
"28","25002",4,0.926829268292683,"D3D8",0.917321512579918,0,0,"Tested","Obs",0.926829268292683
"29","25002",4,1,"D9",0.948722110390663,0,0,"Tested","Obs",1
"30","25002",4,1,"D10",0.927320167779922,0,0,"Tested","Obs",1
"31","10658",3,0.888888888888889,"D1",0.910470094382763,0,0,"Non-tested","Obs",0.888888888888889
"32","10658",3,1,"D2",0.919894707739353,0,0,"Non-tested","Obs",1
"33","10658",3,0.941176470588235,"D3D8",0.937127651870251,0,0,"Non-tested","Obs",0.941176470588235
"34","10658",3,0.882352941176471,"D9",0.965128005445004,0,0,"Non-tested","Obs",0.882352941176471
"35","10658",3,0.941176470588235,"D10",0.970007383108139,0,0,"Non-tested","Obs",0.941176470588235
"36","10658",4,1,"D1",0.933348264813423,0,0,"Tested","Obs",1
"37","10658",4,0.9375,"D2",0.933968603491783,0,0,"Tested","Obs",0.9375
"38","10658",4,0.916666666666667,"D3D8",0.940454430520535,0,0,"Tested","Obs",0.916666666666667
"39","10658",4,0.9375,"D9",0.972295951962471,0,0,"Tested","Obs",0.9375
"40","10658",4,1,"D10",0.942627864003181,0,0,"Tested","Obs",1
