"GPA_pos","grade_treat","type","mean_outcome","ci_lower","ci_upper"
"D1",FALSE,"Predicted",0.857102265780654,0.832364982191779,0.881335030113436
"D2",FALSE,"Predicted",0.903731651480266,0.883684665776091,0.923486235960025
"D3D8",FALSE,"Predicted",0.928933487296436,0.912202221275204,0.945494669639092
"D9",FALSE,"Predicted",0.947925638167017,0.93124481838628,0.963558976119085
"D10",FALSE,"Predicted",0.955258678633153,0.939251682199674,0.970050861235863
"D1",FALSE,"Observed",0.857102265780654,0,0
"D2",FALSE,"Observed",0.903731651480266,0,0
"D3D8",FALSE,"Observed",0.928933487296436,0,0
"D9",FALSE,"Observed",0.947925638167017,0,0
"D10",FALSE,"Observed",0.955258678633153,0,0
"D1",TRUE,"Predicted",0.874097503567296,0.851348215311203,0.896536882986935
"D2",TRUE,"Predicted",0.910362259346102,0.890930016209475,0.929578875303268
"D3D8",TRUE,"Predicted",0.932328109259614,0.916006382832097,0.948468020707369
"D9",TRUE,"Predicted",0.95131023019224,0.934952308983904,0.966544527840904
"D10",TRUE,"Predicted",0.957295669543785,0.941603854238573,0.971848231266356
"D1",TRUE,"Observed",0.874097503567296,0,0
"D2",TRUE,"Observed",0.910362259346102,0,0
"D3D8",TRUE,"Observed",0.932328109259614,0,0
"D9",TRUE,"Observed",0.95131023019224,0,0
"D10",TRUE,"Observed",0.957295669543785,0,0
